hike_region,total_distance,elevation_gain,hike_difficulty,stars,hike_id,loop,out_and_back,point_to_point,dog_friendly,kid_friendly,camping,waterfall,river,lake,wildflowers,wildlife,views
North Cheyenne Park,4.1,846,2,4.3,hike270,1,0,0,1,0,0,0,0,1,1,1,1
Collegiate Peaks Wilderness,9.0,4056,3,4.4,hike271,0,1,0,0,0,1,0,1,0,1,1,1
Rocky Mountain National Park,9.3,2544,2,4.8,hike272,0,1,0,0,0,0,0,0,1,1,1,1
"Golden, Colorado",3.1,702,3,4.3,hike273,1,0,0,1,0,0,0,0,1,0,0,0
Roosevelt National Forest,2.2,420,1,4.3,hike274,0,1,0,1,1,1,1,0,1,1,1,1
Uncompahgre National Forest,8.9,3741,3,4.4,hike275,0,1,0,1,0,1,1,1,1,1,1,1
Arapaho National Forest,2.9,725,2,4.5,hike276,0,1,0,0,1,0,0,0,0,1,0,1
Staunton State Park,8.6,1544,2,4.4,hike277,1,0,0,1,0,0,1,0,1,0,0,1
"Colorado Springs, Colorado",5.9,1202,3,4.3,hike278,0,1,0,0,0,0,0,0,0,1,0,1
White River National Forest,6.4,2321,2,4.0,hike279,0,1,0,1,0,1,0,1,0,1,1,1
Denver Mountain Park Site,4.0,465,1,4.0,hike280,1,0,0,1,1,0,0,0,0,1,1,1
Collegiate Peaks Wilderness,8.2,1799,2,4.5,hike281,0,1,0,1,0,0,0,1,1,1,1,1
Golden Gate Canyon State Park,12.2,2544,2,4.4,hike282,1,0,0,0,0,1,0,0,0,1,1,1
Riverbend Park,3.4,2080,3,4.6,hike283,0,1,0,0,0,0,0,0,0,0,1,1
Sloans Lake Park,2.7,15,1,3.8,hike284,1,0,0,0,1,0,0,0,0,0,0,0
"Wheat Ridge, Colorado",2.8,85,1,4.1,hike285,1,0,0,1,1,0,0,1,1,1,1,0
Rocky Mountain National Park,13.3,2747,2,4.2,hike286,0,1,0,0,0,1,1,1,1,0,0,1
North Cheyenne Park,7.0,1492,3,3.8,hike287,0,1,0,0,0,0,0,0,0,1,0,0
White River National Forest,3.9,1691,2,4.2,hike288,0,1,0,1,0,0,0,0,0,0,1,1
White River National Forest,4.0,1163,2,4.0,hike289,0,1,0,1,0,0,0,0,0,1,0,1
Elk Meadow Park,9.4,2313,3,4.0,hike290,0,1,0,1,0,0,0,0,0,1,1,1
Pike National Forest,11.1,3425,3,4.3,hike291,0,1,0,1,0,0,0,1,0,1,1,1
Echo Lake Park,1.3,76,1,3.7,hike292,1,0,0,1,1,0,0,0,1,0,0,1
Pike National Forest,3.9,1420,3,4.2,hike293,0,1,0,0,0,0,0,1,0,1,0,1
Rocky Mountain National Park,3.5,654,1,4.1,hike294,0,1,0,0,1,0,1,1,0,1,0,1
East Boulder Community Park,3.0,36,1,4.3,hike295,1,0,0,1,1,0,0,1,1,1,1,1
Rocky Mountain National Park,9.7,1870,2,4.5,hike296,0,1,0,0,0,0,1,1,1,1,1,1
White River National Forest,1.2,152,1,4.6,hike297,1,0,0,1,1,1,1,0,0,1,1,1
Great Sand Dunes National Park,4.5,1107,3,4.4,hike298,1,0,0,1,0,1,1,1,0,0,0,1
Cherry Creek State Park,8.9,361,1,3.7,hike299,1,0,0,0,1,0,0,0,1,1,1,1
Roosevelt National Forest,10.8,1674,3,4.6,hike300,0,1,0,0,0,0,0,0,0,1,1,1
"Nederland, Colorado",6.2,2738,3,4.4,hike301,0,0,1,1,0,0,0,0,1,0,0,0
Pike National Forest,9.3,1149,2,4.0,hike302,1,0,0,0,0,0,0,0,0,1,1,1
"Calhan, Colorado",3.6,398,1,4.1,hike303,1,0,0,0,1,0,0,0,0,1,0,1
"Boulder, Colorado",1.7,254,1,4.1,hike304,0,1,0,1,1,0,0,0,1,0,0,0
"Franktown, Colorado",2.8,145,1,3.7,hike305,1,0,0,1,1,0,0,0,0,0,0,1
Rocky Mountain National Park Wilderness,6.1,1376,2,4.6,hike306,0,1,0,0,0,0,0,0,1,0,1,1
White River National Forest,11.5,3288,2,4.8,hike307,0,1,0,1,0,0,0,0,0,1,1,1
Viestenz Smith Mountain Park,9.8,3394,2,4.4,hike308,0,1,0,0,0,0,0,0,0,1,0,1
Maroon Bells Snowmass Wilderness,12.7,3530,3,4.6,hike309,0,1,0,0,0,1,0,0,1,1,1,1
White River National Forest,19.5,2332,1,4.5,hike310,0,1,0,0,0,0,0,0,0,0,0,1
Arapaho National Forest,2.8,1672,3,4.3,hike311,0,1,0,0,0,0,0,0,0,1,1,1
Falcon Stadium,13.1,1574,2,4.2,hike312,1,0,0,0,0,0,0,0,0,0,0,1
Roosevelt National Forest,5.6,2594,3,4.8,hike313,0,0,1,1,0,0,0,0,1,0,0,0
Roosevelt National Forest,13.0,2261,2,4.6,hike314,0,1,0,1,0,1,0,1,1,0,1,0
White River National Forest,13.5,4442,1,4.4,hike315,0,1,0,1,0,0,0,0,1,1,1,1
Rocky Mountain National Park,4.4,1468,2,3.8,hike316,0,1,0,0,0,0,1,1,0,1,1,0
Roosevelt National Forest,3.7,1078,2,4.1,hike317,0,1,0,1,1,0,0,0,0,1,1,1
Routt National Forest,8.5,2111,2,4.7,hike318,0,1,0,1,0,0,0,0,1,1,0,1
White River National Forest,7.3,2110,2,4.4,hike319,0,1,0,1,1,1,0,1,1,1,0,1
Uncompahgre National Forest,0.4,301,2,4.3,hike320,0,1,0,0,1,0,0,0,0,0,0,0
"Boulder, Colorado",9.8,1312,2,4.1,hike321,1,0,0,0,0,0,0,0,0,0,1,1
Black Ridge Canyons Wilderness,14.1,3048,2,4.8,hike322,0,1,0,1,0,0,0,0,0,1,1,1
San Isabel National Forest,7.4,1039,2,4.7,hike323,0,1,0,1,0,0,1,0,1,0,0,1
White River National Forest,41.7,10394,3,4.6,hike324,0,0,1,1,0,1,0,1,1,1,1,1
"Pagosa Springs, Colorado",5.5,1422,2,4.1,hike325,0,1,0,0,0,0,1,1,0,0,0,1
Boulder Mountain Park,4.1,991,2,4.0,hike326,1,0,0,1,0,0,0,0,0,0,0,0
Gunnison National Forest,7.8,2258,2,4.5,hike327,0,1,0,1,0,1,0,0,0,1,0,1
San Isabel National Forest,7.0,3400,3,4.0,hike328,0,1,0,0,0,1,0,0,0,0,1,1
Ute Valley Park,3.0,1499,1,3.1,hike329,1,0,0,0,1,0,0,0,0,1,0,1
Lions Park,22.8,963,1,3.5,hike330,0,1,0,1,1,0,0,1,1,1,1,1
Swan Mountain Recreation Area,0.6,48,1,3.7,hike331,1,0,0,1,1,0,0,0,0,0,1,1
White River National Forest,5.4,1730,2,4.3,hike332,0,1,0,1,0,0,1,1,0,1,1,0
James Peak Wilderness,7.4,2934,3,4.5,hike333,0,1,0,1,0,0,0,0,1,1,1,1
Chatfield State Park,1.7,33,1,4.9,hike334,1,0,0,1,1,0,0,0,1,0,0,0
Pike National Forest,12.1,4339,3,4.5,hike335,0,1,0,1,0,0,0,0,0,0,0,1
White River National Forest,11.9,2300,3,4.0,hike336,0,1,0,1,0,0,0,0,0,1,0,1
Dillon Reservoir Recreation Area,1.7,224,1,4.1,hike337,0,1,0,0,1,0,0,0,0,0,0,0
Walter Byron Memorial Park,2.1,240,2,3.7,hike338,0,1,0,0,1,0,0,0,1,1,0,1
DeKoevend Park,2.4,53,1,3.7,hike339,1,0,0,0,1,0,0,0,0,0,0,0
Golden Gate Canyon State Park,5.1,1363,2,4.2,hike340,1,0,0,0,1,0,0,0,0,1,0,1
Ajax Park,14.5,3410,2,4.2,hike341,0,1,0,0,0,0,0,0,0,1,1,1
Roosevelt National Forest,6.1,1887,2,4.4,hike342,0,0,1,0,0,1,0,0,1,0,0,0
San Juan National Forest,11.0,1473,1,4.7,hike343,0,0,1,0,1,0,0,1,0,0,0,0
North Cheyenne Park,7.0,1582,2,4.0,hike344,1,0,0,0,0,0,0,0,0,0,1,1
Rocky Mountain National Park,1.0,245,1,3.7,hike345,0,1,0,0,1,0,0,0,1,0,1,0
San Isabel National Forest,11.8,3090,2,4.7,hike346,0,1,0,0,0,0,0,1,1,1,0,1
Uncompahgre National Forest,4.4,2487,3,4.9,hike347,0,1,0,1,0,0,0,0,0,1,1,1
"Bailey, Colorado",10.2,3003,2,4.1,hike348,0,1,0,1,0,0,0,0,0,1,1,1
San Isabel National Forest,3.0,1221,2,4.0,hike349,0,1,0,1,1,0,0,0,1,1,0,1
Uncompahgre Wilderness,4.9,1640,2,4.6,hike350,1,0,0,1,1,0,1,0,0,1,1,1
Roosevelt National Forest,7.6,1397,2,3.9,hike351,0,1,0,1,0,0,0,1,0,1,0,1
San Isabel National Forest,7.1,3852,2,4.9,hike352,0,1,0,0,0,0,0,0,0,0,0,0
Arapaho National Forest,6.1,1845,2,4.7,hike353,0,1,0,1,0,0,0,0,0,1,1,1
Maroon Bells Snowmass Wilderness,25.9,8223,3,5.0,hike354,1,0,0,0,0,1,0,1,0,1,0,1
"Masonville, Colorado",4.1,466,1,4.0,hike355,1,0,0,0,1,0,0,0,0,1,1,0
Mesa Verde National Park,0.4,117,1,4.7,hike356,1,0,0,0,1,0,0,0,0,1,1,1
Hurricane Canyon Natural Area,17.4,6651,2,4.4,hike357,0,0,1,1,1,0,0,0,0,0,1,1
Pike National Forest,6.0,2603,3,4.0,hike358,0,1,0,0,0,0,0,0,0,1,0,1
Cottonwood Hollow Natural Area,19.0,352,1,3.7,hike359,0,1,0,1,1,0,0,1,1,1,1,1
San Isabel National Forest,16.2,4482,3,4.5,hike360,1,0,0,0,0,0,0,0,0,1,1,1
Two Rivers Park,5.9,1509,2,4.3,hike361,0,1,0,1,0,0,0,0,0,0,1,1
Routt National Forest,9.7,1942,1,4.3,hike362,0,1,0,0,1,0,0,0,0,1,0,1
Rocky Mountain National Park,12.9,3155,3,4.4,hike363,1,0,0,0,0,0,1,0,0,1,1,1
Uncompahgre National Forest,0.3,128,1,4.4,hike364,0,1,0,1,1,0,1,0,0,1,1,1
Walker Ranch Park,5.4,917,2,3.8,hike365,0,1,0,1,1,0,0,0,0,1,1,1
Colorado National Monument,6.7,904,2,4.4,hike366,1,0,0,1,0,0,0,0,0,1,1,1
Apex Open Space Park,5.3,1238,2,4.1,hike367,1,0,0,1,1,0,0,0,0,0,1,1
Arapaho National Forest,3.4,917,1,4.6,hike368,0,1,0,0,1,0,0,0,0,0,0,0
Pike National Forest,11.2,1938,3,4.0,hike369,1,0,0,0,0,0,0,0,0,1,1,1
Roosevelt National Forest,2.3,198,1,4.0,hike370,0,1,0,0,1,0,0,0,1,0,0,0
White Ranch Open Space Park,4.1,1107,2,4.5,hike371,1,0,0,0,0,0,0,0,0,0,0,1
Gates Crescent Park,11.2,591,1,3.8,hike372,0,0,1,1,1,0,0,1,0,1,1,1
Rocky Mountain Arsenal Nwr,3.3,85,1,3.6,hike373,1,0,0,0,1,0,0,0,1,1,1,1
"Carbondale, Colorado",2.9,884,2,4.2,hike374,1,0,0,1,0,0,0,0,0,1,1,1
Routt National Forest,11.7,2670,3,4.2,hike375,0,1,0,0,0,0,1,1,1,0,1,1
Town Park,3.1,1273,3,4.7,hike376,1,0,0,1,0,0,0,0,0,1,0,1
Boulder Mountain Park,1.5,331,2,3.7,hike377,0,1,0,1,0,0,0,0,0,0,1,1
Walter Byron Memorial Park,11.6,3065,2,4.3,hike378,0,1,0,1,0,0,1,1,1,1,1,1
Dedisse Park,1.4,62,1,3.4,hike379,1,0,0,1,1,0,0,0,1,0,1,0
Pike National Forest,14.4,4195,2,4.3,hike380,0,1,0,0,0,0,1,1,0,1,1,1
Walter Byron Memorial Park,8.6,2330,2,4.2,hike381,0,1,0,1,0,0,0,0,0,0,0,1
White River National Forest,12.7,3015,3,4.6,hike382,0,1,0,0,0,0,0,0,1,1,0,1
Horsetooth Mountain Park,16.1,2099,2,3.8,hike383,0,1,0,1,0,0,0,0,0,1,1,1
Uncompahgre National Forest,5.3,2518,1,4.6,hike384,0,1,0,1,1,0,0,1,0,1,1,1
Colorado National Monument,3.8,849,2,4.1,hike385,0,1,0,0,1,0,0,0,0,1,0,1
Mount Evans Wilderness,10.1,2673,2,3.1,hike386,1,0,0,1,1,1,0,0,1,1,1,1
Collegiate Peaks Wilderness,12.6,4613,3,4.8,hike387,0,1,0,1,0,1,0,1,1,1,1,1
White River National Forest,8.2,2357,2,4.3,hike388,0,1,0,0,0,0,0,0,0,0,0,0
"Boulder, Colorado",4.9,2732,3,4.9,hike389,0,1,0,1,0,0,0,0,0,1,0,1
San Juan National Forest,11.8,2061,2,4.6,hike390,0,1,0,0,0,0,0,0,0,0,0,0
"Loveland, Colorado",5.5,768,1,4.1,hike391,1,0,0,1,1,1,0,0,1,0,1,1
"Golden, Colorado",5.0,1254,2,3.6,hike392,1,0,0,0,0,0,0,0,0,1,0,1
Meyer Ranch Park,1.8,312,1,4.0,hike393,1,0,0,1,1,0,0,0,0,0,0,0
San Juan National Forest,5.1,1510,2,4.4,hike394,0,1,0,1,1,1,1,1,1,1,1,0
Fox Run Regional Park,2.3,295,1,3.6,hike395,1,0,0,1,1,0,0,0,0,1,1,1
Hunter Fryingpan Wilderness,9.6,2614,3,4.9,hike396,0,1,0,1,0,0,0,1,1,1,1,1
Chautauqua Park,2.9,1563,2,3.7,hike397,0,1,0,1,0,0,0,0,0,1,0,1
Roxborough State Park,1.4,172,1,4.3,hike398,1,0,0,0,1,0,0,0,0,1,0,1
Great Sand Dunes National Park,2.5,633,3,4.5,hike399,1,0,0,0,0,1,0,1,0,1,1,1
Roosevelt National Forest,5.1,618,1,3.3,hike400,1,0,0,1,1,0,0,1,0,1,1,1
Gothic Natural Area,16.3,3443,2,4.8,hike401,1,0,0,1,0,1,1,1,1,1,1,1
Garden of the Gods,1.9,421,1,3.8,hike402,0,1,0,0,1,0,0,0,0,1,1,1
Uncompahgre National Forest,17.5,4929,2,4.8,hike403,0,0,1,1,1,0,0,0,0,1,0,1
State Forest State Park,1.4,401,2,4.4,hike404,0,1,0,1,1,0,0,0,1,1,1,1
Pike National Forest,19.7,4316,3,3.6,hike405,1,0,0,1,0,1,0,0,0,1,1,1
Routt National Forest,10.1,1918,2,4.6,hike406,1,0,0,0,0,0,0,0,1,0,0,1
Routt National Forest,5.7,1259,2,4.3,hike407,0,1,0,0,1,0,0,0,0,0,0,0
Uncompahgre National Forest,9.3,4729,2,4.6,hike408,0,0,1,1,1,0,1,1,1,1,1,1
Pike National Forest,5.9,2501,2,4.3,hike409,0,1,0,1,0,0,0,0,0,1,1,1
Holy Cross Wilderness,9.6,2952,3,5.0,hike410,0,1,0,1,0,0,0,0,0,1,1,1
Pike National Forest,4.9,959,2,3.2,hike411,1,0,0,1,0,1,0,1,0,1,1,1
Rifle Falls State Park,2.1,263,1,4.2,hike412,1,0,0,1,1,1,1,1,0,0,1,1
Devil's Backbone Open Space,6.1,819,1,4.1,hike413,1,0,0,1,1,0,0,0,0,1,0,1
Rocky Mountain National Park,2.5,538,2,3.8,hike414,0,1,0,0,1,0,1,0,0,1,0,1
Discovery Park,17.0,1438,1,3.7,hike415,0,0,1,1,1,0,0,0,1,1,0,1
Pike National Forest,0.8,127,1,4.2,hike416,1,0,0,1,1,0,0,0,0,0,0,0
"Aspen, Colorado",10.1,3350,3,5.0,hike417,0,0,1,0,0,0,0,0,0,0,0,1
Arapaho National Forest,8.6,1299,3,4.7,hike418,0,1,0,0,0,0,0,0,1,1,0,1
Bible Park,1.7,49,1,3.9,hike419,1,0,0,1,1,0,0,0,0,0,0,0
Boulder Mountain Park,3.8,869,1,4.4,hike420,1,0,0,1,1,0,0,0,0,0,0,0
Pike National Forest,7.4,1489,3,4.2,hike421,0,1,0,1,0,0,0,0,0,0,1,1
Routt National Forest,5.0,1051,2,4.7,hike422,0,1,0,0,0,0,0,0,0,0,0,0
White River National Forest,5.3,2574,2,4.8,hike423,0,1,0,1,0,1,0,0,1,1,1,1
Estes Park Goif Course,3.8,251,1,3.8,hike424,1,0,0,1,1,0,0,1,1,1,1,1
Holy Cross Wilderness,25.5,4840,2,4.5,hike425,0,1,0,1,1,1,0,1,1,1,1,1
Colorado National Monument,6.4,1189,2,4.5,hike426,0,1,0,0,0,0,1,1,0,1,0,1
Arapaho National Forest,9.7,1862,2,3.9,hike427,0,1,0,0,1,1,0,0,1,1,1,1
White River National Forest,5.1,2301,2,4.3,hike428,0,1,0,0,1,0,0,0,0,0,1,1
Garden of the Gods,3.7,561,1,4.3,hike429,1,0,0,1,1,0,0,0,0,1,1,1
Pike National Forest,5.9,1280,3,4.5,hike430,0,1,0,0,0,0,0,0,1,0,1,0
Roosevelt National Forest,3.2,519,1,3.9,hike431,0,1,0,1,1,0,1,1,0,1,0,0
Echo Lake Park,2.9,874,2,4.6,hike432,1,0,0,1,1,0,0,0,0,1,1,0
Mesa Verde National Park,2.7,583,2,4.5,hike433,1,0,0,0,1,0,0,0,0,1,1,1
Grand Mesa National Forest,9.6,1885,2,4.7,hike434,1,0,0,1,0,0,0,0,0,1,1,1
"Glenwood Springs, Colorado",0.8,228,2,4.2,hike435,0,1,0,1,0,0,0,0,0,1,0,1
"Twin Lakes, Colorado",11.7,4847,3,4.6,hike436,0,1,0,0,0,0,0,0,0,1,1,1
Fountain Creek Regional Park,1.7,53,1,4.0,hike437,1,0,0,0,1,0,0,0,0,1,1,1
Arapaho National Forest,6.6,1255,2,4.0,hike438,0,1,0,0,0,0,0,0,0,1,0,1
White River National Forest,9.0,3621,3,4.4,hike439,0,1,0,1,0,0,0,0,1,1,1,1
Rocky Mountain National Park,5.1,2147,2,5.0,hike440,0,1,0,0,0,0,0,0,0,0,1,1
White River National Forest,2.9,1511,3,4.6,hike441,1,0,0,1,0,0,0,1,0,1,0,1
Rocky Mountain National Park,11.2,2448,2,4.3,hike442,0,1,0,0,0,0,0,1,1,1,1,1
Rocky Mountain National Park,11.5,2312,3,4.4,hike443,0,1,0,0,0,1,1,1,1,1,1,1
"Morrison, Colorado",3.3,871,1,4.3,hike444,1,0,0,1,1,0,0,0,0,0,1,1
White River National Forest,5.9,2027,3,4.5,hike445,0,1,0,0,0,0,0,0,1,0,0,0
Pike National Forest,6.1,2752,3,3.9,hike446,1,0,0,0,0,0,0,0,0,1,1,1
White River National Forest,6.9,1388,2,4.5,hike447,0,1,0,0,0,0,0,1,1,1,1,1
Rocky Mountain National Park Wilderness,3.8,765,1,4.3,hike448,0,1,0,0,1,0,0,0,0,1,1,1
Colorado National Monument,11.4,1997,2,4.4,hike449,0,1,0,0,0,0,0,0,0,1,1,1
Mesa Verde National Park,15.0,2896,1,4.6,hike450,0,0,1,0,0,0,0,0,0,0,0,1
Arapaho National Forest,5.5,1623,2,4.2,hike451,0,1,0,1,0,0,0,0,0,1,0,1
Waverly Park,23.7,905,1,4.1,hike452,0,1,0,1,1,0,0,1,1,1,1,1
San Isabel National Forest,10.0,5378,3,4.6,hike453,0,1,0,0,0,0,0,0,0,0,0,0
Roosevelt National Forest,5.1,1730,2,3.4,hike454,0,0,1,1,0,0,0,1,0,1,0,1
Rocky Mountain National Park,5.7,1976,1,4.3,hike455,0,1,0,0,1,0,0,0,0,1,1,1
Golden Gate Canyon State Park,3.4,531,1,4.0,hike456,1,0,0,0,1,0,0,0,0,0,0,0
Maroon Bells Snowmass Wilderness,1.7,172,1,5.0,hike457,1,0,0,0,1,0,1,0,1,1,1,1
Austin Bluffs Open Space,4.4,700,1,3.7,hike458,1,0,0,1,1,0,0,0,0,1,0,1
Arapaho National Forest,3.4,969,1,3.6,hike459,0,1,0,1,1,0,0,0,0,1,0,1
Lost Creek Wilderness,21.9,3258,2,4.0,hike460,0,1,0,1,0,1,0,0,0,1,1,1
"Boulder, Colorado",2.0,435,1,4.0,hike461,1,0,0,0,1,0,0,1,0,1,0,1
Crown Hill Park,2.2,59,1,3.6,hike462,1,0,0,1,1,0,0,0,1,0,1,0
"Leadville, Colorado",2.3,883,2,4.5,hike463,0,1,0,0,0,0,0,0,1,1,0,1
White River National Forest,1.7,547,2,4.8,hike464,0,1,0,1,1,0,1,1,1,1,1,1
Gunnison National Forest,4.8,448,1,4.3,hike465,0,1,0,1,1,0,1,1,0,0,0,1
White River National Forest,9.0,2854,3,4.1,hike466,0,1,0,1,0,0,0,1,1,1,1,1
Maroon Bells Snowmass Wilderness,18.3,3696,3,4.8,hike467,0,1,0,0,0,0,0,0,1,1,1,1
Uncompahgre National Forest,1.0,388,1,4.5,hike468,0,1,0,0,1,0,0,0,0,1,1,1
Sand Creek Park,1.5,105,1,3.6,hike469,1,0,0,0,1,0,0,1,1,1,1,1
Arapaho National Forest,5.5,2096,2,4.6,hike470,0,1,0,0,0,0,0,0,0,1,1,1
Cheyenne Mountain State Park,4.1,549,1,3.5,hike471,1,0,0,0,1,0,0,0,0,1,1,1
Spring Canyon Community Park,4.1,600,1,3.6,hike472,0,1,0,1,1,0,0,0,0,0,1,0
Grand Mesa National Forest,2.6,391,1,3.8,hike473,0,1,0,1,1,0,0,0,0,1,1,1
Roosevelt National Forest,5.4,1053,2,3.8,hike474,0,1,0,1,1,1,0,1,0,1,1,1
Arapaho National Forest,9.1,3125,3,4.8,hike475,0,1,0,0,0,0,0,0,0,0,0,1
San Juan National Forest,4.1,395,1,4.1,hike476,1,0,0,0,1,0,0,0,0,1,1,1
Rocky Mountain National Park,8.0,1618,2,4.1,hike477,0,1,0,0,0,0,0,0,1,0,0,0
"Boulder, Colorado",4.6,476,1,3.3,hike478,0,1,0,1,1,0,0,1,0,1,1,1
Quail Lake Park,1.1,143,1,4.4,hike479,1,0,0,1,1,0,0,0,0,0,0,0
Pine Valley Ranch Park,3.0,577,2,4.0,hike480,1,0,0,0,0,0,0,0,0,0,0,0
Sangre de Cristo Wilderness,8.6,2944,2,4.6,hike481,0,1,0,1,0,0,1,0,1,1,1,1
"Boulder, Colorado",2.9,239,1,3.9,hike482,1,0,0,1,1,0,0,0,0,1,1,1
Roosevelt National Forest,4.8,1502,2,4.5,hike483,0,1,0,0,0,0,0,0,1,1,1,0
Rio Grande National Forest,19.6,6937,3,4.7,hike484,0,1,0,1,0,0,0,1,1,1,0,1
Castle Rock Ballfield,1.9,582,2,3.9,hike485,1,0,0,1,1,0,0,0,0,1,1,1
"Fort Collins, Colorado",2.7,539,2,3.8,hike486,0,1,0,0,0,0,0,0,0,0,0,0
Schneider Park,6.3,1062,2,3.8,hike487,1,0,0,1,0,0,0,0,0,1,1,1
Indian Peaks Wilderness,13.3,2827,2,4.0,hike488,0,1,0,1,0,0,1,1,1,1,1,1
White River National Forest,17.8,3938,2,4.6,hike489,0,1,0,0,0,1,0,0,0,0,0,1
Castlewood Canyon State Park,4.5,710,2,4.6,hike490,1,0,0,1,1,0,1,1,0,1,1,1
Roosevelt National Forest,4.6,602,1,4.4,hike491,0,1,0,1,1,0,0,0,0,0,0,0
Roosevelt National Forest,4.2,1012,2,3.8,hike492,0,1,0,1,1,0,0,0,1,1,1,0
Martin Park,3.0,764,1,4.2,hike493,1,0,0,0,1,0,0,0,0,0,0,0
"Twin Lakes, Colorado",5.6,1608,2,4.0,hike494,0,1,0,1,0,0,0,1,1,1,1,1
Eldorado Canyon State Park,2.6,554,2,3.9,hike495,1,0,0,1,1,0,0,1,0,1,1,1
Perins Peak State Wildlife Area,8.1,1428,2,4.0,hike496,0,1,0,1,0,0,0,1,1,1,1,1
"Breckenridge, Colorado",1.2,529,3,4.0,hike497,0,1,0,0,0,0,0,1,1,1,1,1
White River National Forest,6.9,2021,2,4.2,hike498,1,0,0,1,0,0,1,1,1,1,0,1
Arapaho National Forest,6.1,1848,2,4.5,hike499,0,1,0,0,0,0,0,0,0,1,0,1
Horsetooth Mountain Park,9.2,2163,2,4.1,hike500,1,0,0,1,0,0,0,1,1,1,1,1
South Platte Park,23.4,573,2,4.1,hike501,0,1,0,1,0,0,0,1,0,1,1,1
Colorado National Monument,1.5,562,1,4.1,hike502,0,1,0,0,1,0,0,0,0,1,0,1
White River National Forest,9.4,2102,2,4.1,hike503,0,1,0,1,0,0,0,0,0,1,1,1
Cheyenne Mountain State Park,6.9,889,2,4.3,hike504,1,0,0,0,0,1,0,0,0,1,1,1
Uncompahgre National Forest,9.2,1939,3,4.5,hike505,0,0,1,0,0,0,1,0,0,1,1,1
White River National Forest,16.6,5297,3,4.9,hike506,0,1,0,1,0,1,0,0,1,1,1,1
Rocky Mountain National Park,8.2,2519,2,4.1,hike507,0,1,0,0,0,0,0,0,1,1,1,1
White River National Forest,4.6,488,2,4.2,hike508,0,1,0,1,1,0,0,0,0,1,1,1
Cache La Poudre Wilderness,7.3,584,1,4.2,hike509,0,1,0,1,1,1,0,0,0,1,1,1
Long Lake Ranch Park,29.2,1334,1,4.5,hike510,0,1,0,1,1,0,0,1,1,1,1,1
San Juan National Forest,1.2,269,1,3.8,hike511,0,1,0,0,1,0,1,1,0,1,1,1
Reservoir Ridge Natural Area,4.9,691,2,3.7,hike512,1,0,0,1,0,0,0,1,1,1,0,1
Edora Park,2.6,107,1,4.2,hike513,0,0,1,0,1,0,0,0,0,0,0,0
White River National Forest,17.9,3148,1,4.2,hike514,1,0,0,0,0,0,0,0,0,0,0,0
Roosevelt National Forest,8.4,2158,2,4.7,hike515,0,1,0,0,0,1,0,0,1,1,0,0
Arapaho National Forest,26.4,4655,1,4.6,hike516,0,1,0,0,0,0,0,0,0,0,0,0
Garden of the Gods,3.3,503,2,4.2,hike517,1,0,0,0,1,0,0,0,0,1,1,1
Pike National Forest,2.2,1587,2,4.2,hike518,0,0,1,0,0,0,0,0,1,1,1,1
Hurricane Canyon Natural Area,2.1,468,2,3.3,hike519,0,1,0,1,0,0,0,0,0,0,0,0
White River National Forest,2.9,344,1,3.1,hike520,0,1,0,0,1,0,0,0,0,1,0,0
Arapaho National Forest,5.9,2207,2,4.6,hike521,1,0,0,0,0,0,0,0,0,0,0,0
San Juan National Forest,12.8,3233,2,4.3,hike522,0,1,0,1,0,1,1,1,1,1,1,1
Golden Gate Canyon State Park,4.6,1269,2,3.7,hike523,1,0,0,0,0,0,0,0,0,1,1,1
American Flats Wilderness Area,13.0,5143,3,4.6,hike524,0,1,0,0,0,0,0,1,0,1,1,1
Pike National Forest,5.2,1316,1,4.3,hike525,0,1,0,1,1,0,0,0,1,1,1,1
Echo Lake Park,11.2,2495,2,4.0,hike526,0,1,0,1,0,0,0,1,0,1,1,1
Maroon Bells Snowmass Wilderness,16.2,5429,3,4.8,hike527,0,1,0,0,0,0,0,0,0,1,1,1
Rocky Mountain National Park,13.4,2601,3,4.0,hike528,0,1,0,0,0,1,1,1,1,1,1,1
Lory State Park,10.8,1940,3,3.7,hike529,1,0,0,1,0,1,0,0,0,1,1,1
Commons Park,1.6,42,1,3.1,hike530,0,0,1,0,1,0,0,0,0,0,0,0
"Henderson, Colorado",2.1,62,1,3.7,hike531,1,0,0,1,1,0,0,1,0,0,0,0
Washington Park,2.4,56,1,4.1,hike532,1,0,0,0,1,0,0,0,0,0,0,0
"Canon City, Colorado",1.9,520,1,4.0,hike533,0,0,1,1,1,0,0,1,0,0,0,1
Black Forest Regional Park,2.9,352,1,3.1,hike534,1,0,0,1,1,0,0,0,0,1,1,1
Pike National Forest,24.7,3813,1,4.2,hike535,0,0,1,0,0,0,0,0,0,0,0,0
White River National Forest,12.0,2621,1,4.9,hike536,0,1,0,0,1,0,0,0,0,1,0,1
Cache La Poudre Wilderness,20.8,4680,3,4.4,hike537,0,1,0,1,0,1,0,0,0,1,1,1
Roosevelt National Forest,9.1,2971,2,4.1,hike538,0,1,0,0,0,0,0,0,0,1,1,1
Garden of the Gods,2.4,635,2,3.6,hike539,0,1,0,1,0,0,0,0,0,0,0,0
"Durango, Colorado",5.7,1048,1,4.9,hike540,0,1,0,1,1,0,0,1,1,1,1,1
