hike_region,total_distance,elevation_gain,hike_difficulty,num_reviews,stars,hike_id,loop,out_and_back,point_to_point,dog_friendly,kid_friendly,camping,waterfall,river,lake,wildflowers,wildlife,views
Rocky Mountain National Park Wilderness,10.3,2044,2,28,4.5,hike259,0,1,0,0,0,1,1,1,1,1,0,1
Pike National Forest,3.0,589,2,25,4.6,hike260,0,1,0,1,0,0,0,0,0,1,0,1
San Isabel National Forest,4.0,1190,2,14,4.7,hike261,0,1,0,1,1,1,1,1,1,1,0,1
Castlewood Canyon State Park,4.1,382,2,29,4.3,hike262,1,0,0,0,0,0,0,0,0,0,0,0
White River National Forest,2.4,256,1,20,4.5,hike263,1,0,0,1,1,0,1,0,1,1,0,0
Kingdow Park,5.9,990,2,22,4.1,hike264,0,1,0,0,1,1,0,1,0,1,0,1
Hunter Fryingpan Wilderness,5.3,1251,2,20,4.6,hike265,1,0,0,1,1,0,1,1,0,1,0,1
San Isabel National Forest,4.2,966,2,10,4.9,hike266,1,0,0,1,0,1,0,0,0,1,0,1
Routt National Forest,8.9,1609,2,29,4.5,hike267,0,1,0,1,1,0,0,0,0,0,0,0
Arapaho National Forest,8.6,2185,3,13,4.5,hike268,0,1,0,0,0,1,0,1,1,0,0,1
White River National Forest,2.8,439,1,19,3.9,hike269,0,1,0,1,1,0,0,0,0,1,0,1
North Cheyenne Park,4.1,846,2,10,4.3,hike270,1,0,0,1,0,0,0,0,1,1,0,1
Collegiate Peaks Wilderness,9.0,4056,3,29,4.4,hike271,0,1,0,0,0,1,0,1,0,1,0,1
Rocky Mountain National Park,9.3,2544,2,14,4.8,hike272,0,1,0,0,0,0,0,0,1,1,0,1
"Golden, Colorado",3.1,702,3,12,4.3,hike273,1,0,0,1,0,0,0,0,1,0,0,0
Roosevelt National Forest,2.2,420,1,24,4.3,hike274,0,1,0,1,1,1,1,0,1,1,0,1
Uncompahgre National Forest,8.9,3741,3,21,4.4,hike275,0,1,0,1,0,1,1,1,1,1,0,1
Arapaho National Forest,2.9,725,2,20,4.5,hike276,0,1,0,0,1,0,0,0,0,1,0,1
Staunton State Park,8.6,1544,2,22,4.4,hike277,1,0,0,1,0,0,1,0,1,0,0,1
"Colorado Springs, Colorado",5.9,1202,3,14,4.3,hike278,0,1,0,0,0,0,0,0,0,1,0,1
White River National Forest,6.4,2321,2,25,4.0,hike279,0,1,0,1,0,1,0,1,0,1,0,1
Denver Mountain Park Site,4.0,465,1,35,4.0,hike280,1,0,0,1,1,0,0,0,0,1,0,1
Collegiate Peaks Wilderness,8.2,1799,2,10,4.5,hike281,0,1,0,1,0,0,0,1,1,1,0,1
Golden Gate Canyon State Park,12.2,2544,2,7,4.4,hike282,1,0,0,0,0,1,0,0,0,1,0,1
Riverbend Park,3.4,2080,3,37,4.6,hike283,0,1,0,0,0,0,0,0,0,0,0,1
Sloans Lake Park,2.7,15,1,31,3.8,hike284,1,0,0,0,1,0,0,0,0,0,0,0
"Wheat Ridge, Colorado",2.8,85,1,24,4.1,hike285,1,0,0,1,1,0,0,1,1,1,0,0
Rocky Mountain National Park,13.3,2747,2,23,4.2,hike286,0,1,0,0,0,1,1,1,1,0,0,1
North Cheyenne Park,7.0,1492,3,11,3.8,hike287,0,1,0,0,0,0,0,0,0,1,0,0
White River National Forest,3.9,1691,2,25,4.2,hike288,0,1,0,1,0,0,0,0,0,0,0,1
White River National Forest,4.0,1163,2,23,4.0,hike289,0,1,0,1,0,0,0,0,0,1,0,1
Elk Meadow Park,9.4,2313,3,23,4.0,hike290,0,1,0,1,0,0,0,0,0,1,0,1
Pike National Forest,11.1,3425,3,22,4.3,hike291,0,1,0,1,0,0,0,1,0,1,0,1
Echo Lake Park,1.3,76,1,21,3.7,hike292,1,0,0,1,1,0,0,0,1,0,0,1
Pike National Forest,3.9,1420,3,19,4.2,hike293,0,1,0,0,0,0,0,1,0,1,0,1
Rocky Mountain National Park,3.5,654,1,25,4.1,hike294,0,1,0,0,1,0,1,1,0,1,0,1
East Boulder Community Park,3.0,36,1,16,4.3,hike295,1,0,0,1,1,0,0,1,1,1,0,1
Rocky Mountain National Park,9.7,1870,2,23,4.5,hike296,0,1,0,0,0,0,1,1,1,1,0,1
White River National Forest,1.2,152,1,10,4.6,hike297,1,0,0,1,1,1,1,0,0,1,0,1
Great Sand Dunes National Park,4.5,1107,3,23,4.4,hike298,1,0,0,1,0,1,1,1,0,0,0,1
Cherry Creek State Park,8.9,361,1,26,3.7,hike299,1,0,0,0,1,0,0,0,1,1,0,1
Roosevelt National Forest,10.8,1674,3,22,4.6,hike300,0,1,0,0,0,0,0,0,0,1,0,1
"Nederland, Colorado",6.2,2738,3,11,4.4,hike301,0,0,1,1,0,0,0,0,1,0,0,0
Pike National Forest,9.3,1149,2,19,4.0,hike302,1,0,0,0,0,0,0,0,0,1,0,1
"Calhan, Colorado",3.6,398,1,46,4.1,hike303,1,0,0,0,1,0,0,0,0,1,0,1
"Boulder, Colorado",1.7,254,1,11,4.1,hike304,0,1,0,1,1,0,0,0,1,0,0,0
"Franktown, Colorado",2.8,145,1,23,3.7,hike305,1,0,0,1,1,0,0,0,0,0,0,1
Rocky Mountain National Park Wilderness,6.1,1376,2,19,4.6,hike306,0,1,0,0,0,0,0,0,1,0,0,1
White River National Forest,11.5,3288,2,14,4.8,hike307,0,1,0,1,0,0,0,0,0,1,0,1
Viestenz Smith Mountain Park,9.8,3394,2,29,4.4,hike308,0,1,0,0,0,0,0,0,0,1,0,1
Maroon Bells Snowmass Wilderness,12.7,3530,3,17,4.6,hike309,0,1,0,0,0,1,0,0,1,1,0,1
White River National Forest,19.5,2332,1,14,4.5,hike310,0,1,0,0,0,0,0,0,0,0,0,1
Arapaho National Forest,2.8,1672,3,27,4.3,hike311,0,1,0,0,0,0,0,0,0,1,0,1
Falcon Stadium,13.1,1574,2,17,4.2,hike312,1,0,0,0,0,0,0,0,0,0,0,1
Roosevelt National Forest,5.6,2594,3,5,4.8,hike313,0,0,1,1,0,0,0,0,1,0,0,0
Roosevelt National Forest,13.0,2261,2,21,4.6,hike314,0,1,0,1,0,1,0,1,1,0,0,0
White River National Forest,13.5,4442,1,24,4.4,hike315,0,1,0,1,0,0,0,0,1,1,0,1
Rocky Mountain National Park,4.4,1468,2,14,3.8,hike316,0,1,0,0,0,0,1,1,0,1,0,0
Roosevelt National Forest,3.7,1078,2,19,4.1,hike317,0,1,0,1,1,0,0,0,0,1,0,1
Routt National Forest,8.5,2111,2,19,4.7,hike318,0,1,0,1,0,0,0,0,1,1,0,1
White River National Forest,7.3,2110,2,13,4.4,hike319,0,1,0,1,1,1,0,1,1,1,0,1
Uncompahgre National Forest,0.4,301,2,29,4.3,hike320,0,1,0,0,1,0,0,0,0,0,0,0
"Boulder, Colorado",9.8,1312,2,15,4.1,hike321,1,0,0,0,0,0,0,0,0,0,0,1
Black Ridge Canyons Wilderness,14.1,3048,2,10,4.8,hike322,0,1,0,1,0,0,0,0,0,1,0,1
San Isabel National Forest,7.4,1039,2,12,4.7,hike323,0,1,0,1,0,0,1,0,1,0,0,1
White River National Forest,41.7,10394,3,5,4.6,hike324,0,0,1,1,0,1,0,1,1,1,0,1
"Pagosa Springs, Colorado",5.5,1422,2,35,4.1,hike325,0,1,0,0,0,0,1,1,0,0,0,1
Boulder Mountain Park,4.1,991,2,6,4.0,hike326,1,0,0,1,0,0,0,0,0,0,0,0
Gunnison National Forest,7.8,2258,2,8,4.5,hike327,0,1,0,1,0,1,0,0,0,1,0,1
San Isabel National Forest,7.0,3400,3,20,4.0,hike328,0,1,0,0,0,1,0,0,0,0,0,1
Ute Valley Park,3.0,1499,1,15,3.1,hike329,1,0,0,0,1,0,0,0,0,1,0,1
Lions Park,22.8,963,1,10,3.5,hike330,0,1,0,1,1,0,0,1,1,1,0,1
Swan Mountain Recreation Area,0.6,48,1,16,3.7,hike331,1,0,0,1,1,0,0,0,0,0,0,1
White River National Forest,5.4,1730,2,26,4.3,hike332,0,1,0,1,0,0,1,1,0,1,0,0
James Peak Wilderness,7.4,2934,3,16,4.5,hike333,0,1,0,1,0,0,0,0,1,1,0,1
Chatfield State Park,1.7,33,1,12,4.9,hike334,1,0,0,1,1,0,0,0,1,0,0,0
Pike National Forest,12.1,4339,3,11,4.5,hike335,0,1,0,1,0,0,0,0,0,0,0,1
White River National Forest,11.9,2300,3,43,4.0,hike336,0,1,0,1,0,0,0,0,0,1,0,1
Dillon Reservoir Recreation Area,1.7,224,1,21,4.1,hike337,0,1,0,0,1,0,0,0,0,0,0,0
Walter Byron Memorial Park,2.1,240,2,29,3.7,hike338,0,1,0,0,1,0,0,0,1,1,0,1
DeKoevend Park,2.4,53,1,10,3.7,hike339,1,0,0,0,1,0,0,0,0,0,0,0
Golden Gate Canyon State Park,5.1,1363,2,13,4.2,hike340,1,0,0,0,1,0,0,0,0,1,0,1
Ajax Park,14.5,3410,2,13,4.2,hike341,0,1,0,0,0,0,0,0,0,1,0,1
Roosevelt National Forest,6.1,1887,2,17,4.4,hike342,0,0,1,0,0,1,0,0,1,0,0,0
San Juan National Forest,11.0,1473,1,12,4.7,hike343,0,0,1,0,1,0,0,1,0,0,0,0
North Cheyenne Park,7.0,1582,2,16,4.0,hike344,1,0,0,0,0,0,0,0,0,0,0,1
Rocky Mountain National Park,1.0,245,1,21,3.7,hike345,0,1,0,0,1,0,0,0,1,0,0,0
San Isabel National Forest,11.8,3090,2,11,4.7,hike346,0,1,0,0,0,0,0,1,1,1,0,1
Uncompahgre National Forest,4.4,2487,3,17,4.9,hike347,0,1,0,1,0,0,0,0,0,1,0,1
"Bailey, Colorado",10.2,3003,2,18,4.1,hike348,0,1,0,1,0,0,0,0,0,1,0,1
San Isabel National Forest,3.0,1221,2,9,4.0,hike349,0,1,0,1,1,0,0,0,1,1,0,1
Uncompahgre Wilderness,4.9,1640,2,28,4.6,hike350,1,0,0,1,1,0,1,0,0,1,0,1
Roosevelt National Forest,7.6,1397,2,39,3.9,hike351,0,1,0,1,0,0,0,1,0,1,0,1
San Isabel National Forest,7.1,3852,2,11,4.9,hike352,0,1,0,0,0,0,0,0,0,0,0,0
Arapaho National Forest,6.1,1845,2,19,4.7,hike353,0,1,0,1,0,0,0,0,0,1,0,1
Maroon Bells Snowmass Wilderness,25.9,8223,3,7,5.0,hike354,1,0,0,0,0,1,0,1,0,1,0,1
"Masonville, Colorado",4.1,466,1,27,4.0,hike355,1,0,0,0,1,0,0,0,0,1,0,0
Mesa Verde National Park,0.4,117,1,20,4.7,hike356,1,0,0,0,1,0,0,0,0,1,0,1
Hurricane Canyon Natural Area,17.4,6651,2,27,4.4,hike357,0,0,1,1,1,0,0,0,0,0,0,1
Pike National Forest,6.0,2603,3,21,4.0,hike358,0,1,0,0,0,0,0,0,0,1,0,1
Cottonwood Hollow Natural Area,19.0,352,1,10,3.7,hike359,0,1,0,1,1,0,0,1,1,1,0,1
San Isabel National Forest,16.2,4482,3,23,4.5,hike360,1,0,0,0,0,0,0,0,0,1,0,1
Two Rivers Park,5.9,1509,2,14,4.3,hike361,0,1,0,1,0,0,0,0,0,0,0,1
Routt National Forest,9.7,1942,1,12,4.3,hike362,0,1,0,0,1,0,0,0,0,1,0,1
Rocky Mountain National Park,12.9,3155,3,11,4.4,hike363,1,0,0,0,0,0,1,0,0,1,0,1
Uncompahgre National Forest,0.3,128,1,24,4.4,hike364,0,1,0,1,1,0,1,0,0,1,0,1
Walker Ranch Park,5.4,917,2,12,3.8,hike365,0,1,0,1,1,0,0,0,0,1,0,1
Colorado National Monument,6.7,904,2,9,4.4,hike366,1,0,0,1,0,0,0,0,0,1,0,1
Apex Open Space Park,5.3,1238,2,8,4.1,hike367,1,0,0,1,1,0,0,0,0,0,0,1
Arapaho National Forest,3.4,917,1,10,4.6,hike368,0,1,0,0,1,0,0,0,0,0,0,0
Pike National Forest,11.2,1938,3,20,4.0,hike369,1,0,0,0,0,0,0,0,0,1,0,1
Roosevelt National Forest,2.3,198,1,11,4.0,hike370,0,1,0,0,1,0,0,0,1,0,0,0
White Ranch Open Space Park,4.1,1107,2,6,4.5,hike371,1,0,0,0,0,0,0,0,0,0,0,1
Gates Crescent Park,11.2,591,1,12,3.8,hike372,0,0,1,1,1,0,0,1,0,1,0,1
Rocky Mountain Arsenal Nwr,3.3,85,1,29,3.6,hike373,1,0,0,0,1,0,0,0,1,1,0,1
"Carbondale, Colorado",2.9,884,2,25,4.2,hike374,1,0,0,1,0,0,0,0,0,1,0,1
Routt National Forest,11.7,2670,3,16,4.2,hike375,0,1,0,0,0,0,1,1,1,0,0,1
Town Park,3.1,1273,3,21,4.7,hike376,1,0,0,1,0,0,0,0,0,1,0,1
Boulder Mountain Park,1.5,331,2,13,3.7,hike377,0,1,0,1,0,0,0,0,0,0,0,1
Walter Byron Memorial Park,11.6,3065,2,8,4.3,hike378,0,1,0,1,0,0,1,1,1,1,0,1
Dedisse Park,1.4,62,1,14,3.4,hike379,1,0,0,1,1,0,0,0,1,0,0,0
Pike National Forest,14.4,4195,2,6,4.3,hike380,0,1,0,0,0,0,1,1,0,1,0,1
Walter Byron Memorial Park,8.6,2330,2,18,4.2,hike381,0,1,0,1,0,0,0,0,0,0,0,1
White River National Forest,12.7,3015,3,8,4.6,hike382,0,1,0,0,0,0,0,0,1,1,0,1
Horsetooth Mountain Park,16.1,2099,2,10,3.8,hike383,0,1,0,1,0,0,0,0,0,1,0,1
Uncompahgre National Forest,5.3,2518,1,17,4.6,hike384,0,1,0,1,1,0,0,1,0,1,0,1
Colorado National Monument,3.8,849,2,32,4.1,hike385,0,1,0,0,1,0,0,0,0,1,0,1
Mount Evans Wilderness,10.1,2673,2,19,3.1,hike386,1,0,0,1,1,1,0,0,1,1,0,1
Collegiate Peaks Wilderness,12.6,4613,3,4,4.8,hike387,0,1,0,1,0,1,0,1,1,1,0,1
White River National Forest,8.2,2357,2,10,4.3,hike388,0,1,0,0,0,0,0,0,0,0,0,0
"Boulder, Colorado",4.9,2732,3,15,4.9,hike389,0,1,0,1,0,0,0,0,0,1,0,1
San Juan National Forest,11.8,2061,2,18,4.6,hike390,0,1,0,0,0,0,0,0,0,0,0,0
"Loveland, Colorado",5.5,768,1,13,4.1,hike391,1,0,0,1,1,1,0,0,1,0,0,1
"Golden, Colorado",5.0,1254,2,8,3.6,hike392,1,0,0,0,0,0,0,0,0,1,0,1
Meyer Ranch Park,1.8,312,1,9,4.0,hike393,1,0,0,1,1,0,0,0,0,0,0,0
San Juan National Forest,5.1,1510,2,8,4.4,hike394,0,1,0,1,1,1,1,1,1,1,0,0
Fox Run Regional Park,2.3,295,1,25,3.6,hike395,1,0,0,1,1,0,0,0,0,1,0,1
Hunter Fryingpan Wilderness,9.6,2614,3,8,4.9,hike396,0,1,0,1,0,0,0,1,1,1,0,1
Chautauqua Park,2.9,1563,2,11,3.7,hike397,0,1,0,1,0,0,0,0,0,1,0,1
Roxborough State Park,1.4,172,1,7,4.3,hike398,1,0,0,0,1,0,0,0,0,1,0,1
Great Sand Dunes National Park,2.5,633,3,21,4.5,hike399,1,0,0,0,0,1,0,1,0,1,0,1
Roosevelt National Forest,5.1,618,1,19,3.3,hike400,1,0,0,1,1,0,0,1,0,1,0,1
Gothic Natural Area,16.3,3443,2,8,4.8,hike401,1,0,0,1,0,1,1,1,1,1,0,1
Garden of the Gods,1.9,421,1,13,3.8,hike402,0,1,0,0,1,0,0,0,0,1,0,1
Uncompahgre National Forest,17.5,4929,2,12,4.8,hike403,0,0,1,1,1,0,0,0,0,1,0,1
State Forest State Park,1.4,401,2,13,4.4,hike404,0,1,0,1,1,0,0,0,1,1,0,1
Pike National Forest,19.7,4316,3,18,3.6,hike405,1,0,0,1,0,1,0,0,0,1,0,1
Routt National Forest,10.1,1918,2,13,4.6,hike406,1,0,0,0,0,0,0,0,1,0,0,1
Routt National Forest,5.7,1259,2,13,4.3,hike407,0,1,0,0,1,0,0,0,0,0,0,0
Uncompahgre National Forest,9.3,4729,2,18,4.6,hike408,0,0,1,1,1,0,1,1,1,1,0,1
Pike National Forest,5.9,2501,2,8,4.3,hike409,0,1,0,1,0,0,0,0,0,1,0,1
Holy Cross Wilderness,9.6,2952,3,6,5.0,hike410,0,1,0,1,0,0,0,0,0,1,0,1
Pike National Forest,4.9,959,2,25,3.2,hike411,1,0,0,1,0,1,0,1,0,1,0,1
Rifle Falls State Park,2.1,263,1,19,4.2,hike412,1,0,0,1,1,1,1,1,0,0,0,1
Devil's Backbone Open Space,6.1,819,1,13,4.1,hike413,1,0,0,1,1,0,0,0,0,1,0,1
Rocky Mountain National Park,2.5,538,2,8,3.8,hike414,0,1,0,0,1,0,1,0,0,1,0,1
Discovery Park,17.0,1438,1,14,3.7,hike415,0,0,1,1,1,0,0,0,1,1,0,1
Pike National Forest,0.8,127,1,12,4.2,hike416,1,0,0,1,1,0,0,0,0,0,0,0
"Aspen, Colorado",10.1,3350,3,8,5.0,hike417,0,0,1,0,0,0,0,0,0,0,0,1
Arapaho National Forest,8.6,1299,3,7,4.7,hike418,0,1,0,0,0,0,0,0,1,1,0,1
Bible Park,1.7,49,1,17,3.9,hike419,1,0,0,1,1,0,0,0,0,0,0,0
Boulder Mountain Park,3.8,869,1,13,4.4,hike420,1,0,0,1,1,0,0,0,0,0,0,0
Pike National Forest,7.4,1489,3,15,4.2,hike421,0,1,0,1,0,0,0,0,0,0,0,1
Routt National Forest,5.0,1051,2,6,4.7,hike422,0,1,0,0,0,0,0,0,0,0,0,0
White River National Forest,5.3,2574,2,8,4.8,hike423,0,1,0,1,0,1,0,0,1,1,0,1
Estes Park Goif Course,3.8,251,1,12,3.8,hike424,1,0,0,1,1,0,0,1,1,1,0,1
Holy Cross Wilderness,25.5,4840,2,11,4.5,hike425,0,1,0,1,1,1,0,1,1,1,0,1
Colorado National Monument,6.4,1189,2,11,4.5,hike426,0,1,0,0,0,0,1,1,0,1,0,1
Arapaho National Forest,9.7,1862,2,12,3.9,hike427,0,1,0,0,1,1,0,0,1,1,0,1
White River National Forest,5.1,2301,2,8,4.3,hike428,0,1,0,0,1,0,0,0,0,0,0,1
Garden of the Gods,3.7,561,1,22,4.3,hike429,1,0,0,1,1,0,0,0,0,1,0,1
Pike National Forest,5.9,1280,3,11,4.5,hike430,0,1,0,0,0,0,0,0,1,0,0,0
Roosevelt National Forest,3.2,519,1,9,3.9,hike431,0,1,0,1,1,0,1,1,0,1,0,0
Echo Lake Park,2.9,874,2,9,4.6,hike432,1,0,0,1,1,0,0,0,0,1,0,0
Mesa Verde National Park,2.7,583,2,23,4.5,hike433,1,0,0,0,1,0,0,0,0,1,0,1
Grand Mesa National Forest,9.6,1885,2,22,4.7,hike434,1,0,0,1,0,0,0,0,0,1,0,1
"Glenwood Springs, Colorado",0.8,228,2,26,4.2,hike435,0,1,0,1,0,0,0,0,0,1,0,1
"Twin Lakes, Colorado",11.7,4847,3,7,4.6,hike436,0,1,0,0,0,0,0,0,0,1,0,1
Fountain Creek Regional Park,1.7,53,1,25,4.0,hike437,1,0,0,0,1,0,0,0,0,1,0,1
Arapaho National Forest,6.6,1255,2,28,4.0,hike438,0,1,0,0,0,0,0,0,0,1,0,1
White River National Forest,9.0,3621,3,14,4.4,hike439,0,1,0,1,0,0,0,0,1,1,0,1
Rocky Mountain National Park,5.1,2147,2,5,5.0,hike440,0,1,0,0,0,0,0,0,0,0,0,1
White River National Forest,2.9,1511,3,22,4.6,hike441,1,0,0,1,0,0,0,1,0,1,0,1
Rocky Mountain National Park,11.5,2312,3,8,4.4,hike442,0,1,0,0,0,1,1,1,1,1,0,1
Rocky Mountain National Park,11.2,2448,2,9,4.3,hike443,0,1,0,0,0,0,0,1,1,1,0,1
Pike National Forest,6.1,2752,3,13,3.9,hike444,1,0,0,0,0,0,0,0,0,1,0,1
White River National Forest,5.9,2027,3,19,4.5,hike445,0,1,0,0,0,0,0,0,1,0,0,0
